movieInfo,intro,url,title,star,quote
导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主...;1999 / 美国澳大利亚 / 动作科幻;;,,https://movie.douban.com/subject/1291843/,黑客帝国 / The Matrix / 廿二世纪杀人网络(港)  /  骇客任务(台),8,视觉革命。
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...;1998 / 美国 / 剧情历史战争;;,,https://movie.douban.com/subject/1292849/,拯救大兵瑞恩 / Saving Private Ryan / 雷霆救兵(港)  /  抢救雷恩大兵(台),8,美利坚精神输出大片No1.
导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:莫妮卡·贝鲁奇Monica...;2000 / 意大利美国 / 剧情战争情色;;,"
                                　　当我还只是十三岁时，1941年春末的那一天，我初次见到了她那一天，墨索里尼向英法宣战，而我，得到了生命里的第一辆脚踏车。
                                    ",https://movie.douban.com/subject/1292402/,西西里的美丽传说 / Malèna / 真爱伴我行(台)  /  玛莲娜,8,美丽无罪。
导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra...;1994 / 美国 / 剧情喜剧犯罪;;,"
                                　　《低俗小说》由“文森特和马沙的妻子”、“金表”、“邦妮的处境”三个故事以及影片首尾的序幕和尾声五个部分组成。看似独立的小故事里面，却又有环环相扣的人和事。
                                    ",https://movie.douban.com/subject/1291832/,低俗小说 / Pulp Fiction / 黑色追緝令(台)  /  危险人物(港),8,故事的高级讲法。
导演:奥里奥尔·保罗OriolPaulo   主演:马里奥·卡萨斯MarioCasas/阿...;2016 / 西班牙 / 剧情犯罪悬疑惊悚;;,,https://movie.douban.com/subject/26580232/,看不见的客人 / Contratiempo / 佈局(台)  /  死无对证(港),8,你以为你以为的就是你以为的。
导演:大卫·芬奇DavidFincher   主演:凯特·布兰切特CateBlanchett/...;2008 / 美国 / 剧情爱情奇幻;;,,https://movie.douban.com/subject/1485260/,本杰明·巴顿奇事 / The Curious Case of Benjamin Button / 奇幻逆缘(港)  /  返老还童,8,在时间之河里感受溺水之苦。
导演:TimBurton   主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...;1990 / 美国 / 剧情奇幻爱情;;,,https://movie.douban.com/subject/1292370/,剪刀手爱德华 / Edward Scissorhands / 幻海奇缘(港)  /  剪刀手爱德华,8,浪漫忧郁的成人童话。
导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛...;1995 / 美国 / 动作传记剧情历史战争;;,,https://movie.douban.com/subject/1294639/,勇敢的心 / Braveheart / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),8,史诗大片的典范。
导演:RobertWise   主演:朱丽·安德鲁斯JulieAndrews/克里斯托弗·普...;1965 / 美国 / 剧情传记爱情歌舞;;,,https://movie.douban.com/subject/1294408/,音乐之声 / The Sound of Music / 仙乐飘飘处处闻(港)  /  真善美(台),8,用音乐化解仇恨，让歌声串起美好。
导演:克里斯托弗·诺兰ChristopherNolan   主演:休·杰克曼HughJackman...;2006 / 美国英国 / 剧情悬疑惊悚;;,,https://movie.douban.com/subject/1780330/,致命魔术 / The Prestige / 顶尖对决(台)  /  死亡魔法(港),8,孪生蝙蝠侠大战克隆金刚狼。
导演:马基德·马基迪MajidMajidi   主演:AmirFarrokhHashemian/默罕...;1997 / 伊朗 / 剧情家庭儿童;;,,https://movie.douban.com/subject/1303021/,小鞋子 / بچههای آسمان / 天堂的孩子  /  小童鞋,9,奔跑的孩子是天使。
导演:中岛哲也TetsuyaNakashima   主演:中谷美纪MikiNakatani/瑛太E...;2006 / 日本 / 剧情歌舞;;,,https://movie.douban.com/subject/1787291/,被嫌弃的松子的一生 / 嫌われ松子の一生 / 花样奇缘(港)  /  令人讨厌的松子的一生(台),8,以戏谑来戏谑戏谑。
导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...;2013 / 韩国 / 剧情;;,,https://movie.douban.com/subject/21937452/,素媛 / 소원 / 许愿  /  希望：为爱重生(台),9,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
导演:大卫·芬奇DavidFincher   主演:摩根·弗里曼MorganFreeman/布...;1995 / 美国 / 剧情犯罪悬疑惊悚;;,,https://movie.douban.com/subject/1292223/,七宗罪 / Se7en / 火线追缉令(台)  /  7宗罪,8,警察抓小偷，老鼠玩死猫。
导演:戈尔·维宾斯基GoreVerbinski   主演:约翰尼·德普JohnnyDepp/...;2003 / 美国 / 动作冒险奇幻;;,"
                                　　故事发生在17世纪，传说中海盗最为活跃的加勒比海。风趣迷人的杰克·斯伯洛（约翰尼·德普 Johnny Depp 饰），是活跃在加勒比海上的海盗，拥有属于自己的“黑珍珠”号海盗船。对他来说，最惬意的生活就是驾驶着“黑珍珠”号在加勒比海上游荡，自由自在的打劫过往船只。但不幸的是，他的仇敌，老谋深算的巴尔巴罗萨船长(杰弗里·拉什 Geoffrey Rush 饰)偷走了他的“黑珍珠”号。巴伯萨是一个无恶不作的坏蛋，他抢劫了杰克的""黑珍珠号""后，更加猖狂，在加勒比海上横行霸道，一时成为整个加勒比海的霸主。
                                    ",https://movie.douban.com/subject/1298070/,加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl / 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),8,约翰尼·德普的独角戏。
