,name,sallary,duty,location,time
25042,杭州天迈新能源科技有限公司,4-6千/月,美工/文案策划,杭州-西湖区,12-31
25043,烟台木山网络科技有限公司,1.5-2万/月,Linux运维工程师 (工作地點：菲律宾),异地招聘,12-31
25044,深圳航天智慧城市系统技术研究院有...,2-2.5万/月,高级测试经理,深圳-南山区,12-31
25045,广州酷狗计算机科技有限公司,1-1.6万/月,PTBU-测试工程师（音乐项目）,广州-天河区,12-31
25046,雷尚（北京）科技有限公司,1.8-2.8万/月,高级Android开发工程师,北京,12-31
25047,今日头条,3-4万/月,客户端测试专家,北京-海淀区,12-30
25048,今日头条,3-4万/月,高级数据工程师,北京-海淀区,12-30
25049,今日头条,3-4万/月,NLP算法专家,北京-海淀区,12-30
25050,今日头条,2-2.5万/月,安全研发工程师,北京-海淀区,12-30
25051,今日头条,2-2.5万/月,IDC运维工程师,北京-海淀区,12-30
25052,北京企办信息技术有限公司,0.8-1.2万/月,运维工程师,北京-朝阳区,12-29
25053,珠海飞扬科技有限公司,6-8千/月,WEB前端工程师,珠海,12-29
25054,广州绿养电子商务有限公司,0.7-1万/月,研发工程师,广州-海珠区,12-29
25055,众安在线财产保险股份有限公司,2-4万/月,前端开发工程师,上海-黄浦区,12-29
25056,广州云聚鲜智能科技有限公司,4-6千/月,网络安全工程师,广州-番禺区,12-29
25057,广州云聚鲜智能科技有限公司,5-8千/月,Android/iOS开发工程师,广州-番禺区,12-29
25058,南京睿斯博信息科技有限公司,3-4.5千/月,平面设计师,南京-雨花台区,12-29
25059,广东任玩传媒股份有限公司,0.8-1.3万/月,Web前端开发工程师(急聘),广州-越秀区,12-29
25060,深圳智图视觉系统科技有限公司,1.5-2万/月,HTML5开发工程师,深圳-龙岗区,01-02
25061,青岛紫光供应链服务有限公司,100元/天,电脑美工/网页设计（兼.职、黄岛）,青岛-黄岛区,01-01
25062,浙江睿智教育信息咨询股份有限公司,0.7-1.2万/月,Web前端开发工程师,杭州-萧山区,01-01
25063,浙江睿智教育信息咨询股份有限公司,0.6-1万/月,高级IT运维工程师,杭州-萧山区,01-01
25064,上海高领秀体育发展有限公司,0.8-1.2万/月,HTML5开发工程师,上海-闵行区,12-31
25065,西安敦行信息技术有限公司,4.5-6千/月,应届生初级软件工程师java助理实习生,西安,12-31
25066,西安敦行信息技术有限公司,4.5-6千/月,Java初级软件开发工程师（可先培养）,西安,12-31
25067,雷尚（北京）科技有限公司,1.5-2万/月,iOS开发工程师,北京-海淀区,12-31
25068,百度在线网络技术（北京）有限公司,2-2.5万/月,大数据部_前端工程师,上海,12-30
25069,百度在线网络技术（北京）有限公司,2.5-3万/月,移动应用部_高级Web前端研发工程师,上海,12-30
25070,百度在线网络技术（北京）有限公司,1.5-2万/月,富媒体业务部_后端开发工程师,北京-海淀区,12-30
25071,百度在线网络技术（北京）有限公司,1-1.5万/月,富媒体业务部_高级WEB前端开发工程师,北京-海淀区,12-30
25072,百度在线网络技术（北京）有限公司,2-2.5万/月,贴吧事业部基础业务技术部_数据挖掘算法工程师,北京-海淀区,12-30
25073,今日头条,3-4万/月,后台开发工程师,北京-海淀区,12-30
25074,今日头条,3-4万/月,高级测试开发工程师,北京-海淀区,12-30
25075,今日头条,3-4万/月,NLP算法工程师,北京-海淀区,12-30
25076,维塔士电脑软件（成都）有限公司,2-3千/月,Junior Backend programmer/初级后端程序师,成都,12-29
25077,深圳市奇点信息技术有限公司,1.3-2.5万/月,急聘产品经理（马来西亚）,异地招聘,12-29
25078,深圳市奇点信息技术有限公司,1.3-2.5万/月,急聘产品经理（马来西亚）,异地招聘,12-29
25079,深圳市奇点信息技术有限公司,1.3-2.5万/月,急聘产品经理（马来西亚）,异地招聘,12-29
25080,蓝盾信息安全技术股份有限公司,0.9-1.6万/月,网络渗透测试工程师,广州-天河区,12-29
25081,承兴国际,1.5-2.5万/月,JAVA架构师,深圳,12-29
25082,上海实奥信息科技有限公司,1-1.5万/月,前端中级开发工程师,上海-静安区,12-29
25083,广州公博实业控股有限责任公司,0.8-1万/月,测试专家,广州-天河区,12-29
25084,广州公博实业控股有限责任公司,1-1.5万/月,技术专家,广州-天河区,12-29
25085,上海时代天使医疗器械有限公司,0.6-1万/月,BI工程师,上海,12-29
25086,百度在线网络技术（北京）有限公司,2.5-3万/月,车联网事业部_测试开发工程师,北京-海淀区,12-30
25087,深圳市奇点信息技术有限公司,1.5-3万/月,手机前端开发（国外）,异地招聘,12-29
25088,深圳市奇点信息技术有限公司,1.5-3万/月,手机前端开发（国外）,异地招聘,12-29
25089,深圳市奇点信息技术有限公司,1.5-3万/月,手机前端开发（国外）,异地招聘,12-29
25090,深圳市奇点信息技术有限公司,1.5-3万/月,手机前端开发（国外）,异地招聘,12-29
25091,深圳市奇点信息技术有限公司,2-5万/月,Web前端开发工程师（中、高级）,异地招聘,12-29
25092,深圳市奇点信息技术有限公司,2-5万/月,Web前端开发工程师（中、高级）,国外,12-29
25093,深圳市迈高云媒文化传播有限公司,6-8千/月,WEB前端开发工程师,深圳-南山区,12-29
25094,上海到客网络科技有限公司,1-1.5万/月,前端HTML5开发工程师,上海-浦东新区,12-29
25095,深圳光启高等理工研究院,1.5-2万/月,IT高级经理,深圳,12-29
25096,上海时代天使医疗器械有限公司,0.8-1万/月,前端开发工程师,上海,12-29
25097,广州速道信息科技有限公司,6-8千/月,测试工程师,广州-海珠区,12-29
25098,上海弘又升投资咨询有限公司,1.5-2万/月,Golang开发工程师,上海-黄浦区,12-29
25099,广东元乐信息技术股份有限公司,0.8-1.6万/月,后端开发工程师,广州-番禺区,12-29
25100,深圳光启高等理工研究院,1.5-2.5万/月,算法工程师,深圳-南山区,12-29
25101,深圳光启高等理工研究院,1.5-2.5万/月,UI设计工程师,深圳-南山区,12-29
25102,沈阳唯实数码科技发展有限公司,4.5-6千/月,Android开发工程师（五险+单双周休）,沈阳,12-29
25103,沈阳唯实数码科技发展有限公司,4.5-6千/月,Android开发工程师,沈阳,12-29
25104,上海希听计算机科技有限公司,0.8-1.2万/月,Web前端开发工程师/UI设计师,上海-黄浦区,12-29
25105,南京国之迈信息科技有限公司,4.5-6千/月,Web前端开发工程师,南京-秦淮区,12-29
25106,上海宏鹿信息技术服务有限公司,3-4万/月,技术总监,上海-浦东新区,12-29
25107,广东元乐信息技术股份有限公司,0.6-1万/月,微信小程序开发工程师,广州-番禺区,12-29
25108,广东元乐信息技术股份有限公司,1.2-2.2万/月,系统架构师,广州-番禺区,12-29
25109,Yestar艺星传媒,5-8千/月,网站优化专员,上海,12-29
25110,浙江大学继续教育学院,8-15万/年,活动策划（事业发展部）,杭州-江干区,12-29
25111,怡数信息科技（上海）有限公司,0.6-1.5万/月,前端工程师,上海-静安区,12-29
25112,珠海达人网络科技有限公司,1-2万/月,游戏客户端中级开发（cocos2d-x）,异地招聘,12-29
25113,珠海达人网络科技有限公司,1-2万/月,游戏客户端中级开发（cocos2d-x）,珠海,12-29
25114,珠海达人网络科技有限公司,1-2万/月,游戏客户端中级开发（cocos2d-x）,异地招聘,12-29
25115,浙江大学继续教育学院,8-10万/年,人力资源专员（人力资源办公室）,杭州-江干区,12-29
