,name,sallary,duty,time,location
7895,深圳市腾讯计算机系统有限公司,,22989-高级图像处理算法工程师（深圳）,2月7日,深圳
7896,深圳市腾讯计算机系统有限公司,,MIG12-用户画像挖掘工程师(深圳),2月7日,深圳
7897,拍拍信数据服务（上海）有限公司,2-5万/月,产品总监/经理,2月6日,上海-浦东新区
7898,百融（北京）金融信息服务股份有限...,1.5-3万/月,大数据产品经理,2月6日,北京
7899,百融（北京）金融信息服务股份有限...,1.5-2.5万/月,数据建模师,2月6日,北京
7900,WeX微汇金融,1.5-2万/月,金融产品经理,2月6日,上海
7901,比亚迪股份有限公司,2.5-3万/月,自动驾驶首席技术专家,2月6日,深圳
7902,南京苏宁软件技术有限公司,3-6万/月,技术总监（广告产品方向）(009875),2月6日,上海
7903,深圳市腾讯计算机系统有限公司,,25926-自然语言处理算法工程师（深圳）,2月7日,深圳
7904,深圳市腾讯计算机系统有限公司,,MIG01-数据工程师,2月7日,深圳
7905,深圳市腾讯计算机系统有限公司,,20503-人脸识别研发工程师（上海）,2月7日,上海
7906,深圳市腾讯计算机系统有限公司,,20503-视频监控人体算法研发工程师（上海）,2月7日,上海
7907,深圳市腾讯计算机系统有限公司,,20503-语音识别/声纹识别研究员（上海）,2月7日,上海
7908,深圳市腾讯计算机系统有限公司,,20503-医疗图像理解研究员（上海）,2月7日,上海
7909,深圳市腾讯计算机系统有限公司,,20503-社交娱乐场景算法研究组组长（上海）,2月7日,上海
7910,深圳市腾讯计算机系统有限公司,,SNG16-腾讯音乐后台策略安全（深圳）,2月7日,深圳
7911,深圳市腾讯计算机系统有限公司,,MIG16-手图运营开发工程师（北京）,2月7日,北京
7912,深圳市腾讯计算机系统有限公司,,SNG11-人工智能研究员（深圳）,2月7日,深圳
7913,深圳市腾讯计算机系统有限公司,,SNG11-安全AI研究员（深圳）,2月7日,深圳
7914,深圳市腾讯计算机系统有限公司,,TEG03-数据挖掘工程师（深圳）,2月7日,深圳
7915,深圳市腾讯计算机系统有限公司,,MIG16-自动驾驶三维感知算法工程师（北京）,2月7日,北京
7916,深圳市腾讯计算机系统有限公司,,SNG16-QQ音乐/全民k歌搜索算法高级工程师（深圳）,2月7日,深圳
7917,深圳市腾讯计算机系统有限公司,,WXG04-122 微信游戏推荐系统算法工程师,2月7日,深圳
7918,深圳市腾讯计算机系统有限公司,,OMG064-广告数据挖掘与算法工程师（上海）,2月7日,上海
7919,深圳市腾讯计算机系统有限公司,,OMG236-腾讯视频数据模型高级工程师(北京),2月7日,北京
7920,深圳市腾讯计算机系统有限公司,,OMG236-腾讯视频搜索排序工程师(深圳),2月7日,深圳
7921,上海奥腾计算机科技有限公司,2.5-3万/月,大数据软件架构师（上海）,2月7日,上海
7922,上海奥腾计算机科技有限公司,1.5-3万/月,大数据Hadoop研发工程师（上海）,2月7日,上海
7923,上海犀语科技有限公司,6-10万/月,自然语言处理专家/研究员/科学家 NLP技术总监,2月6日,上海-杨浦区
7924,上海犀语科技有限公司,3-6万/月,研发总监,2月6日,上海-杨浦区
7925,北京缘聘信息技术有限责任公司,1.5-5万/月,算法工程师,2月6日,北京-朝阳区
7926,南京苏宁软件技术有限公司,1.5-3万/月,Python开发工程师（研究院）(009768),2月6日,南京-玄武区
7927,南京苏宁软件技术有限公司,1.2-2万/月,Java开发工程师（研究院）(009786),2月6日,南京-玄武区
7928,南京苏宁软件技术有限公司,1-1.5万/月,产品经理（数据分析平台）(009754),2月6日,南京-玄武区
7929,南京苏宁软件技术有限公司,1.5-3万/月,算法工程师（个性化推荐）(008784),2月6日,北京
7930,南京苏宁软件技术有限公司,2.5-5万/月,经理（优化算法）(008788),2月6日,北京
7931,苏宁云商集团股份有限公司-IT总部,3-5万/月,技术总监（数据挖掘）(003755),2月6日,南京
7932,南京苏宁软件技术有限公司,1-1.8万/月,Python高级开发工程师(009316),2月6日,南京
