,time,location,duty,sallary,name
266,02-09,广州-白云区,包装工,3-4.5千/月,广州市骊庭智能家居有限公司
267,02-09,广州-南沙区,行政人事（南沙大岗镇）,3-5千/月,广州市兆晶电子科技有限公司
268,02-09,上海,薪酬奖金专员,4.5-6千/月,香港澳美制药厂有限公司
269,02-09,深圳-龙华新区,品牌经理,6-8千/月,光彩国际科技运营（深圳）有限公司
270,02-09,广州,国际采购助理,4.5-6千/月,森大集团
271,02-09,武汉-武昌区,人事专员,3-4.5千/月,湖北商博士企业管理咨询有限公司
272,02-09,西安,储备干部/分校长/区域主管,0.5-1万/月,领军教育
273,02-09,蚌埠,诚聘优秀团队经理,0.8-1万/月,北京恒昌汇财投资管理有限公司
274,02-09,上海-黄浦区,平面设计师,6-8千/月,上海爱晋仕商务咨询有限公司
275,02-09,异地招聘,人事专员,3-5千/月,广州山九物流有限公司
276,02-09,武汉-江夏区,银行内勤咨询人员/六小时制,5-8千/月,太平人寿保险有限公司上海分公司
277,02-09,上海,Business Development Manager,2.5-3万/月,深圳前海普卓生活科技有限公司
278,02-09,合肥-包河区,市场营销专员,2-3千/月,合肥达捷测绘导航科技有限公司
279,02-09,广州-越秀区,质检部经理,0.8-1万/月,广州蓝图地理信息技术有限公司
280,02-09,北京-朝阳区,高级策划经理（副总监） 北京,2.5-4万/月,碚曦（上海）投资管理有限公司
281,02-09,宁波,工程审计师,0.8-1万/月,宁波金田铜业（集团）股份有限公司
282,02-09,西安,医院管理咨询数据分析师,4.5-6千/月,西安当代医院管理研究院
283,02-09,广州-天河区,金融服务专员,3-5千/月,汇丰环球客户服务(广东)有限公司
284,02-09,北京-海淀区,项目助理,0.6-1万/月,北京时代亿信科技股份有限公司
285,02-09,合肥,销售（五险+出国+培训+晋升）,5-9千/月,合肥链家宝业房地产经纪有限公司滨...
286,02-09,珠海,采购员,2.5-4千/月,珠海市预见科技有限公司
287,02-09,天津-南开区,金融业务经理,0.5-2.5万/月,平安普惠信息服务有限公司天津长江...
288,02-09,广州-海珠区,应届毕业生,0.8-1万/月,广州乔喜房地产中介有限公司
289,02-09,广州-海珠区,销售客服,3-4.5千/月,广州树帛服装有限公司
290,02-09,重庆-南岸区,销售代表（分析仪器）,3-4.5千/月,重庆坤演科技有限公司
291,02-09,北京,(BSCE)Sr. Procurement Engineer资深项目采购工程师,,北京西门子西伯乐斯电子有限公司(...
292,02-09,上海-徐汇区,技术支持,,上海天祥质量技术服务有限公司（I...
293,02-09,重庆,会员活动策划,3-5千/月,重庆亲亲袋鼠国际早教中心
294,02-09,常州,渠道销售专员,1.5-2万/月,南京美的房地产发展有限公司
295,02-09,太仓,CRM Admin,4-6千/月,通快（中国）有限公司
296,02-09,苏州,初小各科教师,6-8千/月,学大教育
297,02-09,佛山,平台服务部部长-国防中心,15-20万/年,佛山市南海区广工大数控装备协同创...
298,02-09,深圳-南山区,客户经理,1-2万/月,丰唐物联技术（深圳）有限公司
299,02-09,沈阳-和平区,英国咨询顾问,3-4.5千/月,金吉列出国留学咨询服务有限公司沈...
300,02-09,异地招聘,营业专员/系长（日语）,4-6.5千/月,广东发尔特克汽车用品有限公司
301,02-09,上海,学习管理师/班主任/客户服务,6-8千/月,阅奇青少儿英语
302,02-09,上海,前端工程师,0.8-1.5万/月,上海找油信息科技有限公司
303,02-09,上海-黄浦区,审计业务经理,40-50万/年,立信会计师事务所（特殊普通合伙）
304,02-09,青岛,财务出纳,3-4.5千/月,青岛千宿国际酒店管理有限公司
305,02-09,宁波,资深客服,4-6万/年,宁波艾尔厨具制造有限公司
