,sallary,location,duty,name,time
14317,10万以上/月,深圳-龙华新区,区域总监,中国人寿保险股份有限公司深圳市龙...,2月7日
14318,10万以上/月,常德,区域销售经理,贵州正鑫实业有限公司,2月7日
14319,10万以上/月,株洲,区域销售经理,贵州正鑫实业有限公司,2月7日
14320,10万以上/月,怀化,区域销售经理,贵州正鑫实业有限公司,2月7日
14321,10万以上/月,湘西,区域销售经理,贵州正鑫实业有限公司,2月7日
14322,10万以上/月,张家界,区域销售经理,贵州正鑫实业有限公司,2月7日
14323,10万以上/月,邵阳,区域销售经理,贵州正鑫实业有限公司,2月7日
14324,10万以上/月,岳阳,区域销售经理,贵州正鑫实业有限公司,2月7日
14325,10万以上/月,深圳-福田区,招聘经理,深圳市世外桃源生态旅游有限公司,2月6日
14326,100万以上/年,北京-石景山区,酒店会员招商业务经理,御赐（北京）文化传播有限公司,2月6日
14327,100万以上/年,北京-石景山区,酒店会员招商部门经理,御赐（北京）文化传播有限公司,2月6日
14328,100万以上/年,北京-石景山区,酒店总经理,御赐（北京）文化传播有限公司,2月6日
14329,80-100万/年,北京-石景山区,销售经理,御赐（北京）文化传播有限公司,2月6日
14330,10万以上/月,合肥,办公室文员,安徽蒙建城乡规划建筑设计有限公司...,2月7日
14331,5-7万/月,绍兴,自动化设备技术员,浙江三鼎工具有限公司,2月7日
14332,150-200万/年,深圳-宝安区,亚马逊总监/副总,深圳市富盈星电子有限公司,2月7日
14333,5-7万/月,异地招聘,项目公司总经理（佛山）,华耀城控股集团有限公司,2月7日
14334,10万以上/月,长沙,区域销售经理,贵州正鑫实业有限公司,2月7日
14335,10万以上/月,郑州,外贸业务跟单员,郑州瑞久祥进出口贸易有限公司,2月7日
14336,9.9-48.8万/月,镇江,土建造价经理（镇江公司岗位）,无锡协信远信房地产开发有限公司,2月6日
14337,5-7万/月,上海-黄浦区,总公司 大客户经理,上海佳堃自动化科技有限公司,2月6日
14338,5-7万/月,上海-黄浦区,采购经理,上海佳堃自动化科技有限公司,2月6日
14339,7-10万/月,上海-黄浦区,渠道分销主管,上海佳堃自动化科技有限公司,2月6日
14340,5-7万/月,上海-黄浦区,总部 采购总监,上海佳堃自动化科技有限公司,2月6日
14341,5-7万/月,上海-黄浦区,总部 人事经理,上海佳堃自动化科技有限公司,2月6日
14342,100万以上/年,合肥-高新区,副总经理,安徽朗汀园林绿化工程服务有限公司,2月6日
14343,7-10万/月,异地招聘,月薪7000招聘财务主管,吉林云耕农业股份有限公司,2月6日
14344,15-30万/月,成都,生命科学仪器部销售工程师+硕士+年薪15-30万+提成,成都立德赛科技有限公司,2月6日
14345,7-10万/月,广州-天河区,高薪聘请中国平安综合金融经理,中国平安人寿保险股份有限公司广州...,2月6日
14346,7-10万/月,广州-天河区,车险、银行、信贷、房地产综合金融经理,中国平安人寿保险股份有限公司广州...,2月6日
14347,10万以上/月,广州-天河区,5400元起聘平安银行信贷保险投资房地产综合金融经理,中国平安人寿保险股份有限公司广州...,2月6日
14348,10万以上/月,广州-天河区,5400元起聘平安银行信贷保险投资房地产综合金融经理,中国平安人寿保险股份有限公司广州...,2月6日
14349,10万以上/月,广州-天河区,5400元起聘平安银行信贷保险投资房地产综合金融经理,中国平安人寿保险股份有限公司广州...,2月6日
14350,10万以上/月,广州-天河区,高薪诚聘贷款保险车险信用卡投资卖房卖车综合金融经理,中国平安人寿保险股份有限公司广州...,2月6日
14351,60-80万/年,西安,成都拓展总监,西安康派房地产开发有限公司,2月6日
14352,100万以上/年,西安,城市总经理,西安康派房地产开发有限公司,2月6日
14353,9.9-48.8万/月,镇江,土建造价主管（镇江公司岗位）,无锡协信远信房地产开发有限公司,2月6日
14354,9.9-48.8万/月,镇江,招商主管（镇江公司岗位）,无锡协信远信房地产开发有限公司,2月6日
14355,9.9-48.8万/月,无锡,土建造价经理,无锡协信远信房地产开发有限公司,2月6日
14356,9.9-48.8万/月,镇江,机电工程主管（镇江公司岗位）,无锡协信远信房地产开发有限公司,2月6日
14357,9.9-48.8万/月,镇江,景观设计经理（镇江公司岗位）,无锡协信远信房地产开发有限公司,2月6日
14358,9.9-48.8万/月,镇江,投资拓展经理（镇江公司岗位）,无锡协信远信房地产开发有限公司,2月6日
14359,700元/小时,济南-市中区,***--老师,济南齐峰教育咨询有限公司,2月6日
14360,800-1600万/月,南京-建邺区,00019-南京市4S店销售顾问,上海利真汽车服务咨询有限公司南京...,2月6日
14361,60-80万/年,异地招聘,总会计师-承德兴隆文旅公司,中冶置业集团有限公司北京分公司,2月6日
14362,5-7万/月,异地招聘,中医针灸推拿,如东丰利惠慈医院,2月6日
14363,5-7万/月,异地招聘,中医针灸推拿,如东丰利惠慈医院,2月6日
